가게번호,유저이름,날짜,별점,사진,메뉴,리뷰,긍/부정, nlpdata
1,gh**,2021-07-28,5,yes,육개장/1+등심돈까스/1(공기밥 추가(공기밥추가)),지난 주에도 시켰는데 괜찮아서 또 시켰네요~ 배달 속도도 빠르고 음식도 만족스럽습니다ㅎㅎ,1
1,ma**,2021-07-27,5,yes,쫄면Set（쫄면＋오뎅＋김밥）/1(김밥 선택(변경 안함))+돈까스Set（등심돈까스＋우동＋김밥）/2(김밥 선택(변경 안함)),푸짐하게 잘 먹었습니다.,1
1,en**,2021-07-27,2,no,천국김밥/2+콩국수/2(곱빼기 추가 선택(곱빼기 추가)),콩국수 꼽빼기 2개는 양도 맛도 별로임 꽁국수 메뉴추가는 패착인듯,-1
1,mk**,2021-07-26,5,no,고기만두/1+등심돈까스/1+쫄면Set（쫄면＋오뎅＋김밥）/1(김밥 선택(참치김밥으로 변경))+쫄면Set（쫄면＋오뎅＋김밥）/1(김밥 선택(변경 안함)), ........,1
1,be**,2021-07-26,5,yes,천국김밥/2+계란말이김밥/1+떡볶이/1+물냉면/3,김밥이 맛있습니다요,1
1,li**,2021-07-26,5,yes,떡만두국/1+제육덮밥/1,매번 맛있고 배불리 잘 먹고 있습니다. 변함없이 잘 부탁드립니다.,1
1,37**,2021-07-23,4,no,물냉면/1+육개장/1+해물알탕/1,냉면은 엄청 맛 있는데 육계장이 좀 연해진거 같아요,1
1,so**,2021-07-20,5,no,콩국수/1+돈까스Set（등심돈까스＋우동＋김밥）/1(김밥 선택(변경 안함)),콩국수 진하고 맛있습니다ㆍㆍ만두랑 딱 컴비네요,1
1,mi**,2021-07-19,5,no,김치찌개/1+된장찌개/1+부대찌개/1,맛있게 잘먹었습니다,1
1,lk**,2021-07-19,5,yes,물냉면/1+고구마치즈돈까스/1,완젼맛있어요 냉면맛집입니다!!! 돈까스는아이도엄청잘먹네요~~^^,1
1,yj**,2021-07-18,1,yes,천국김밥/1+떡볶이/1+짜장면/1,짜장은 중국집으로 떡볶이는 오뎅이 더 많음,-1
1,tm**,2021-07-18,5,no,참치김밥/2+라볶이/1+제육덮밥/1+짬뽕밥/1,맛있어요!!!!!!!!!,1
1,er**,2021-07-14,5,no,참치김밥/1+등심돈까스/1,좋아요 빠르고 괜찮아요,1
1,ma**,2021-07-11,5,yes,등심돈까스/1(곱빼기 추가 선택(곱빼기 추가))+쫄면Set（쫄면＋오뎅＋김밥）/1(김밥 선택(변경 안함)),맛있게 잘 먹었습니다 감사합니다,1
1,hf**,2021-07-11,2,no,참치김밥/1+라볶이/1+등심돈까스/1(곱빼기 추가 선택(곱빼기 추가))+공기밥/1,반이상 남겼다.. 맛있다는 리뷰가잇는거보니 바빠서그런걸까ㅠㅠ 너무 먹고싶어서 시켰는데 실망이크다 돈이아깝다 많이시켰는데 좋게쓰고싶지만 발전하시라고 솔직평남겨요,-1
1,an**,2021-07-11,5,no,순대/1+참치찌개/1(공기밥 추가(공기밥추가)),역시 믿고보는 김천♡,1
1,lo**,2021-07-10,5,no,돈까스김밥/1+새우볶음밥/1+사천중화볶음밥/1,오랫만에 아이들 시켜준것같아요. 맛있었다네요,1
1,cm**,2021-07-09,5,yes,순두부찌개/1+돈까스Set（등심돈까스＋우동＋김밥）/1(김밥 선택(변경 안함)),맛도있고 양도 넘쳐요~~ 기분좋게 배불러요^^ 맛있는 한끼 감사합니다~~,1
1,lk**,2021-07-09,5,yes,물냉면/1+고구마치즈돈까스/1,냉면 너무맛나요^^ 고구마치즈돈까스는 옛날돈까스느낌인데 이르케맛있어도되나요??아이가 홀랑다먹어서 갱시니 맛봤어요ㅋㅋ 또주문할께요,1
1,lk**,2021-07-09,5,yes,물냉면/1+떡볶이Set（떡볶이＋오뎅＋김밥）/1(김밥 선택(변경 안함)),완젼맛있어요 냉면맛집이네요 김밥도 오뎅도 떡볶이도 잘먹었어요 감사합니다,1
1,no**,2021-07-06,5,no,천국김밥/1+땡초김밥/1+참치김밥/1+돈까스김밥/1+떡라면/1,맛있게 잘 먹었습니다,1
1,po**,2021-07-06,5,no,김치찌개/1+돈까스Set（등심돈까스＋우동＋김밥）/1(김밥 선택(변경 안함)),ㅓ툐너러 ㅎㄴ파 ㅓ툐,1
1,hs**,2021-07-05,5,no,고구마치즈돈까스/1+참치김치볶음밥/1,아들 시켜줬는데 넘 맛나게 잘먹었답니다,1
1,be**,2021-07-05,5,no,김치김밥/1+참치김밥/1+물냉면/1+등심돈까스/1+생맥주 1000cc/1,가성비에 좋아요~ 맛도 좋아요~,1
1,mi**,2021-06-30,5,no,김치찌개/3,맛있어요ㅎㅎㅎㅎㅎㅎ,1
1,bp**,2021-06-28,5,no,참치김밥/2+부대찌개/1(공기밥 추가(공기밥추가))+새우볶음밥/1,참치김밥은 늘 맛있어요,1
1,ej**,2021-06-28,4,yes,천국김밥/1+돈까스Set（등심돈까스＋우동＋김밥）/1(김밥 선택(참치김밥으로 변경)),참치김밥 좋아하는 딸아이가 배가 불러서인지 김밥을 조금 남겼네요 빠른 배송 감사합니다,1
1,li**,2021-06-26,5,yes,치즈김밥/1+참치김밥/1+수제비/1,따뜻하고 맛있게 잘 먹었습니다.,1
1,dl**,2021-06-23,5,yes,떡볶이/1+순대/1+돈까스Set（등심돈까스＋우동＋김밥）/1(김밥 선택(변경 안함)),돈까스도 떡볶이도 우동도 김밥도 순대도 맛 없는게 하나도 없네요~ 맛있게 잘 먹었습니다 항상 코로나 조심하시고 건강하세요~^^,1
1,li**,2021-06-19,5,yes,참치김밥/1+김치만두/1+떡국/1,양도 푸짐하고 맛있게 잘 먹었습니다.,1
1,th**,2021-06-13,1,no,참치김밥/2+오므라이스/1,하‥‥ 할말하않‥‥‥‥‥‥,-1
